Model,Status,Accuracy,Avg_Precision,Avg_Recall,Avg_F1
ArabicCharCNN,No Augmentation,96.2797619047619,0.9638588398755671,0.9627976190476192,0.962774996135047
ResNet152,Augmentation + Re-Train,96.2797619047619,0.9638588398755671,0.9627976190476192,0.962774996135047
