Model,Status,Accuracy,Avg_Precision,Avg_Recall,Avg_F1
AlexNet,Augmentation + Re-Train,91.2797619047619,0.9168216795252444,0.9127976190476189,0.9127827769412618
ResNet18,Augmentation + Re-Train,96.45833333333333,0.9659370312591852,0.9645833333333333,0.9646281675691186
AlexNet,Augmentation + Finetune Train,3.5714285714285716,0.0012755102040816326,0.03571428571428571,0.002463054187192118
